"primaryName","primaryName_fr","description","description_fr","classification"
"Small Batch Soap Maker","Savon en petites quantités – Fabricant","As a small batch soap maker, my business makes luxurious hand-crafted soaps with various scents and healthy ingredients, which in addition to cleansing, can help to nourish and moisturize the skin.","En tant que fabricant de savons en petites quantités, je fabrique de luxueux savons artisanaux aux parfums variés et aux ingrédients sains, qui, en plus de nettoyer, peuvent aider à nourrir et à hydrater la peau.","CONTRACTING"
"Musical Instruments - Wholesale","Instruments de musique – Commerce de gros","As a musical instrument wholesaler, I sell musical instruments, typically to retail stores.","En tant que grossiste d’instruments de musique, je vends des instruments de musique, généralement à des magasins de détail.",NULL
"Hardware/Plumbing Supplies/Electrical Supplies - Wholesale","Quincaillerie, fournitures de plomberie, appareillage électrique – Commerce de gros","As a hardware/plumbing supplies/electrical supplies wholesaler, I sell hardware, plumbing supplies and electrical supplies, typically to a retail store.","En tant que grossiste de produits de quincaillerie, de fournitures de plomberie et d’appareillage électrique, je vends des produits de quincaillerie, des fournitures de plomberie et de l’appareillage électrique, généralement à des magasins de détail.",NULL
"Housewares - Retail","Articles ménagers – Commerce de détail","As a housewares retailer, I sell giftware, crafts, glassware, crockery, china, kitchen utensils, tableware and decorative items online and in store.","En tant que détaillant d’articles ménagers, je vends en magasin et en ligne des articles de cadeaux, de l’artisanat, de la verrerie, de la vaisselle, des articles en porcelaine, des ustensiles de cuisine, des couverts de table et des articles décoratifs.","RETAIL"
"Restaurants (Food Court)","Restaurants (aires de restauration)","As a food preparation establishment, we are located in a shopping mall food court where patrons are free to use the common food court seating/dining areas.","En tant qu’établissement de préparation d’aliments, nous sommes situés dans l’aire de restauration d’un centre commercial où les clients sont libres d’utiliser les aires communes de restauration","CONTRACTING"
"Kinesiologists","Kinésithérapeutes","As a kinesiologist, I am a member of my provincial kinesiologist association and focus on rehabilitation.","En tant que kinésiologue, je suis membre de mon association provinciale de kinésiologues et je centre ma pratique sur la réadaptation.",NULL
"Physician & Surgeon Office (Including Specialist)","Bureau de médecins et chirurgiens (spécialistes inclus)","As a physician & surgeon office, I am a specialist doctor who runs an office or am part of a clinic.","À mon bureau de médecins et chirurgiens, je suis un médecin spécialiste qui travaille dans son propre bureau ou qui fait partie d’une clinique.",NULL
"Occupational Therapists","Ergothérapeutes","As an occupational therapist, I am regulated by my professional body and focus on a person’s abilities and help them maximize their independence after an injury has occurred.","En tant qu’ergothérapeute, je suis réglementé(e) par mon association professionnelle, je centre ma pratique sur les capacités de personnes ayant subi une blessure et j’aide celles-ci à recouvrer au maximum leur autonomie.",NULL
"Auto Specialty Shops (Mufflers / Transmissions / Radiators)","Ateliers de réparation spécialisés (silencieux, transmission, Radiators)","As a specialty auto shop, we repair and/or install mufflers, transmissions and radiators.","En tant que spécialiste en réparation automobile, je répare et installe des silencieux, des transmissions et des radiateurs.","RETAIL"
"Dieticians","Diététiciens","As a dietician, I am registered in the province/ territory I operate in and provide food, diet, and nutritional information and advice.","En tant que diététiste, je suis inscrit(e) auprès de l’association professionnelle de la province où j’exerce mes activités et je fournis de l’information et des conseils en matière d’alimentation, de régimes et nutrition.",NULL
"Glass/Pottery/Ceramic Product Manufacturing (No Windows)
","Articles de verre, poterie, céramique (sauf fenêtres) – Fabrication","As a glass/pottery/ceramic product manufacturer, I make decorative pieces and décor from porcelain, china and glass. I do not manufacture any windows.","En tant que fabricant de produits de verre, de poterie ou de céramique, je crée des articles décoratifs en verre, en porterie ou en céramique. Je ne fabrique pas de fenêtres.",NULL
"Light Garden/Lawn Equipment - Retail","Matériel léger de pelouse et de jardin – Commerce de détail","As a light garden/lawn equipment retailer, I sell mowers, tractors, lawn equipment and garden supplies online and in store.","En tant que détaillant de matériel léger de pelouse et de jardin, je vends en magasin et en ligne des tondeuses, des tracteurs ainsi que du matériel et des fournitures de jardinage.","RETAIL"
"Linen/Towel/Diaper/Uniform Supply","Fournisseur de literie, serviettes, couches, uniformes","As a linen/towel/diaper/uniform supply service, I wash/clean and return diapers, uniforms, commercial table cloths and other linens.","En tant que fournisseur de literie, de serviettes, de couches et d’uniformes, je lave et je retourne des couches, des uniformes, des nappes, de la literie, etc.",NULL
"Registered Massage Therapists","Massothérapeutes agréés","As a registered massage therapist, I am a member of my provincial association that is affiliated with the Massage Therapy Alliance of Canada, and I treat clients by using touch to manipulate the muscles and other soft tissues of the body to relieve pain, help heal injuries, improve circulation, relieve stress, increase relaxation and aid in general wellness of clients.","En tant que massothérapeute agréé(e), je suis membre de mon association provinciale qui est affiliée avec l’Alliance canadienne de massothérapeutes, et je fournis des traitements en agissant avec mes mains sur les muscles et les tissus mous pour soulager les clients de la douleur, favoriser la guérison de leurs blessures, améliorer leur circulation sanguine, diminuer leur stress, leur procurer un sentiment de détente et contribuer à leur bien-être général.",NULL
"Financial Planners / Advisors","Conseillers en planification financière","As a financial planner/advisor, I help companies and individuals create a program to meet long-term financial goals and help manage your money including investments and other accounts.","En tant que conseiller en planification financière, j’aide des entreprises et des particuliers à élaborer un plan pour atteindre leurs objectifs financiers et à gérer leur argent, y compris leurs placements et leurs autres comptes.",NULL
"China/Glass/Earthenware - Wholesale","Porcelaine, verrerie, poterie – Commerce de gros","As a china/glass/earthenware wholesaler, I sell glazed or unglazed pottery, or other types of pottery made from china and glass.","En tant que grossiste de produits de porcelaine, de verrerie et de poterie, je vends des produits de poterie trempés ou non trempés, ainsi que des produits de verrerie et de porcelaine.",NULL
"Catering/Caterer/Chef (Personal/Private) (No Liquor Serving)","Traiteur, chef (cuisinier/privé), traiteur (sans service d’alcool)","As a caterer/personal chef, I prepare, cook and present food remotely or on premises, often for events. I do not do any liquor serving.","En tant que traiteur ou chef cuisinier, je prépare, fais cuire et présente des aliments sur les lieux ou hors des lieux, souvent dans le cadre d’événements. Je ne sers pas d’alcool.",NULL
"Butcher Shop","Boucherie","As a butcher shop, I prepare standard cuts of meat and poultry for sale in store, or to other retail or wholesale food establishments.","À ma boucherie, je prépare des coupes classiques de viande et de volaille destinées à la vente sur place ou à d’autres établissements de vente d’aliments au détail ou en gros.","RETAIL"
"Retail - Drug Stores","Commerce de détail – Pharmacies","As a retail drug store, we fill prescriptions, sell over the counter drugs, medical supplies, cosmetics, toiletries, snacks and other household goods.","En tant que pharmacie de détail, nous remplissons les ordonnances et vendons des médicaments en vente libre, des fournitures médicales, des cosmétiques, des articles de toilette, des collations et autres articles ménagers.","RETAIL"
"Floor Coverings (Rugs/Carpets) - Wholesale","Revêtements de sol (tapis et moquettes) – Commerce de gros","As a floor coverings wholesaler, I sell rugs and carpets.","En tant que grossiste de revêtements de sol, je vends des tapis et des moquettes.",NULL
"Accessories (Hats/Scarves/Belts) - Retail","Accessoires (chapeaux, foulards, ceintures) – Commerce de détail","As an accessories retailer, I sell hats, scarves, belts, handbags, socks and tights online and in store.","En tant que détaillant d’accessoires, je vends en magasin et en ligne des chapeaux, des foulards, des ceintures, des sacs à main, des bas et des collants.","RETAIL"
"Poster Art, Framing & Laminating - Retail","Affiches, encadrement et laminage – Commerce de détail","As a poster art, framing and laminating retailer, I sell poster art and offer custom framing and laminating services online and in store.","En tant que détaillant d’affiches, de cadres et de laminés, je vends des affiches et j’offre des services d’encadrement et de laminage en magasin et en ligne.","RETAIL"
"Electronic Shop","Magasin de produits électroniques","As an electronic shop, I sell personal computers, laptops, bluetooth speakers, screens, phones, cell phones, chargers and tablets online and in store. I do not offer any mobile services.","À mon magasin de produits électroniques et en ligne, je vends des ordinateurs de bureau et portatifs, des haut-parleurs Bluetooth, des écrans, des téléphones filaires et cellulaires, des chargeurs et des tablettes. Je n’offre pas de services hors des lieux.","RETAIL"
"Books & Stationery - Retail","Livres, papeterie – Commerce de détail","As a books & stationary retailer, I am a book store that also sells paper, pens, notebooks and other stationary supplies online and in store.","En tant que détaillant de livres et de produits de papeterie, j’exploite une librairie qui vend aussi du papier, des stylos, des carnets de notes et d’autres fournitures de bureau, en magasin et en ligne.","RETAIL"
"Non-Motorized Bicycles (Including Repair) - Retail","Vélos non motorisés (réparation incluse) – Commerce de détail","As a non-motorized bicycle retailer, I sell, repair or rent out bicycles.","En tant que détaillant de vélos non motorisés, je vends, je répare ou je loue des vélos.","RETAIL"
"Copywriters","Concepteur-rédacteur","As a copywriter I create written promotional material for things like marketing campaigns, websites, advertisements, emails and brochures, that aim to engage readers and encourage sales of products and/or services.  ","À titre de rédacteur, je crée du matériel promotionnel écrit pour des campagnes de marketing, des sites Web, des publicités, des courriels, des dépliants, etc. dont le but est d’intéresser les lecteurs et de stimuler les ventes de produits ou de services.","PROFESSIONAL_SERVICES"
"Freight Brokers","Courtier en transport de marchandises","As a freight broker, I am an intermediary between a shipper who has cargo to transport, and a carrier who has capacity to move that cargo, and I arrange pickup from the shipper's facilities for delivery.","En tant que courtier en transport de marchandises, je joue le rôle d’intermédiaire entre un chargeur qui a des marchandises à expédier et un transporteur, et je gère le ramassage des marchandises aux installations de l’expéditeur.",NULL
"Spray Painting (Exterior)","Peinture – Vaporisation (extérieure)","As a painter, I prepare, protect, and decorate exterior surfaces by applying materials such as paint, other finishes and special coatings. I also use a device that sprays a coating (paint, ink, varnish) through the air onto a surface.","En tant qu’entrepreneur en peinture, je prépare, protège et décore des surfaces extérieures en y appliquant des matériaux comme de la peinture, d’autres types de finis ou des revêtements spéciaux. J’utilise aussi un appareil qui sert à appliquer une couche (de peinture, d’encre ou de vernis) sur une surface par pulvérisation dans les airs.","CONTRACTING"
"Pet Groomer - Household Pets","Toilettage d’animaux de compagnie","As a pet groomer, I work with animals to make pets pretty. I shampoo and wash, trim and shape fur, clip nails, brush the animals hair, and clean their teeth.","En tant que toiletteur d’animaux, je fais le toilettage d’animaux de compagnie pour les rendre plus beaux. Je les lave avec un shampoing, je taille et brosse leurs poils, je coupe leurs griffes et je lave leurs dents.","PROFESSIONAL_SERVICES"
"Beauty Salons and Barber Shops (Hairstyling / Manicures / Pedicures Only, No Estheticians)","Salons de coiffure et de beauté (coiffure, manucure, pédicure seulement; esthéticiens exclus)","As a beauty salon or barber shop, we cut and style hair and/or provide manicures and pedicures.","À mon salon de coiffure ou de beauté, nous coupons et coiffons les cheveux ou nous faisons des manucures et des pédicures.",NULL
"Pet Daycare - Household Pets","Centre de gardiennage d’animaux de compagnie","As a pet daycare operator, I provide daycare for household pets such as dogs, cats and birds.  I do not provide overnight boarding.","En tant qu’exploitant d’un centre de gardiennage d’animaux de compagnie, j’offre des services de gardiennage d’animaux de compagnie comme des chiens, des chats et des oiseaux. Je n’offre pas de service de pension (ce qui comprend la nuit).","PROFESSIONAL_SERVICES"
"Pet Trainer - Household Pets","Entraîneur d’animaux de compagnie","As a pet trainer, I teach animals to display certain behaviours or keep them from exhibiting others. I help pets become accustomed to human contact and teach them to respond to commands.","En tant qu’entraîneur d’animaux de compagnie, j’apprends aux animaux à avoir certains comportements et à ne pas avoir certains autres. J’aide les animaux à s’habituer au contact humain et je leur apprends à obéir à des ordres.","PROFESSIONAL_SERVICES"
"Optometrists","Optométristes ","As an optometrist, I am a primary eye care provider who can conduct eye exams, write prescriptions and treat eye diseases.","En tant qu’optométriste, je suis un fournisseur de soins de la vue primaires qui réalise des examens de la vue, rédige des ordonnances et traite des maladies oculaires.",NULL
"Dental Hygienists","Hygiénistes dentaires","As a dental hygienist, my primary focus is on oral disease prevention and I can also be involved in orthodontic procedures. ","En tant qu’hygiéniste dentaire, je suis spécialisé(e) dans la prévention des affections buccodentaires, mais je peux également participer à des procédures d’orthodontie.",NULL
"Speech Therapists","Orthophonistes","As a speech therapist, I help individuals overcome and prevent communication problems in language, speech, voice and fluency.","En tant qu’orthophoniste, j’aide les individus à surmonter ou à prévenir les problèmes de communication liés au langage, à la parole, à la voix et à la fluidité de l’expression.",NULL
"Call Centres - No Dispatch","Centres d’appels, autres qu’à des fins de répartition","As a call centre we handle large volumes of inbound and outbound forms of communication with current and prospective customers.  We do not do any dispatch and we are not involved with any medical operations.","En tant que centre d’appels, nous gérons de grands volumes de communications entrantes et sortantes avec les clients existants et potentiels. Nous ne faisons aucune répartition et ne sommes impliqués dans aucune activité médicale.","PROFESSIONAL_SERVICES"
"Arbitrators/Mediators","Arbitres/médiateurs","As an arbitrator, I review testimony and evidence presented by the disputed parties at a hearing and I resolve the dispute by issuing a decision that may include an award of money. As a mediator, I assist the disputed parties to negotiate a settlement.","En tant qu’arbitre, j’analyse les témoignages et les preuves présentées par les parties en différend lors d’une audience et je résous leur différend en adoptant une décision qui peut comprendre le versement d’une somme d’argent. En tant que médiateur, j’aide des parties en différend à négocier un règlement.",NULL
"Restaurant Exhaust Maintenance & Cleaning","Systèmes d’échappement de restaurants – Entretien et nettoyage","As a restaurant exhaust system cleaner, I maintain and clean out the greasy buildup inside hoods and ductwork to prevent fires.","En tant que nettoyeur de systèmes d’échappement de restaurants, j’entretiens et je nettoie les accumulations de graisse dans les hottes et les conduits pour prévenir des incendies.",NULL
"Strategic Consultant","Conseiller stratégique","As a strategic consultant, I help organizations to develop strategies that will enable them to meet long-term goals.","En tant que conseiller stratégique, j’aide les entreprises à développer des stratégies qui leur permettront d’atteindre leurs objectifs à long terme.",NULL
"Operations Consultant","Conseiller en opérations","As an operations consultant, I devise business strategies to help solve operational, supply chain, and efficiency problems within different industries.","En tant que conseiller en opérations, j’élabore des stratégies d’affaires visant à régler des problèmes d’exploitation, d’efficacité ou liés à la chaîne logistique dans différents secteurs.","PROFESSIONAL_SERVICES"
"Physiotherapists","Physiothérapeutes","As a physiotherapist, I treat disease, injury or deformity by physical methods such as massage, heat treatment and exercise to promote physical recovery.","En tant que physiothérapeute, je traite les maladies, les blessures et les difformités par des moyens physiques tels que le massage, l’application de chaleur et l’exercice.",NULL
"Canning and preserving fruit and vegetables","Mise en conserve et conservation de fruits et légumes","As a maker of jams, jellies, marmalades, spreads, sauces, pickled vegetables, and preserves, I hand make products in small batches using fresh, local fruits and vegetables.","Je fabrique des confitures, des gelées, des marmelades, des tartinades, des sauces, des légumes marinés et des fruits en conserve en petits lots, en utilisant des fruits et des légumes frais de production locale.",NULL
"Copying & Stationary Store","Copie et reproduction, papeterie – Commerce de détail","As a copying and stationary store, I sell paper, pens, envelopes and other office and art type equipment. I also offer photocopying and printing services.","À mon magasin de reproduction et de papeterie, je vends du papier, des stylos, des enveloppes et d’autres matériels de bureau et d’art. J’offre aussi des services de photocopie et d’impression.","RETAIL"
"Grading Contractor","Entrepreneur en nivellement","As a grading contractor, I use heavy construction equipment called a grader, to smooth and flatten a surface for roads or building foundations.","En tant qu’entrepreneur en nivellement, j’utilise une pièce d’équipement de construction lourd, qu’on appelle une niveleuse, pour aplanir et lisser des surfaces destinées à des routes ou à des fondations de bâtiments.","CONTRACTING"
"Construction - Fences / Decks","Construction – Clôtures et terrasses","As a fence/deck contractor, I construct or install fences and decks made of wood or composite products.","En tant qu’entrepreneur en clôtures et terrasses, je construis ou j’installe des clôtures et des terrasses en bois ou en matériaux composites.","CONTRACTING"
"Management Consultant","Conseiller en gestion","As a management consultant, I help organizations solve issues and improve performance by identifying problems and implementing solutions.","En tant que conseiller en gestion, j’aide les entreprises à résoudre des problèmes et à améliorer leur rendement en cernant les problèmes et en mettant en place des solutions.","PROFESSIONAL_SERVICES"
"Candle Maker / Furniture Polish / Other Wax Products","Chandelles, cire pour meubles, autres produits de cire – Production","As a candle maker/furniture polish/other wax product manufacturer, I make products such as candles, coating for cutting boards, crayons and pencils.","En tant que fabricant de chandelles, cire pour meubles et autres produits de cire, je crée des produits comme des chandelles, de la cire pour meubles et des crayons.",NULL
"Residential Well Digging/Drilling","Creusage/forage de puits – Secteur résidentiel","As a residential well digger/driller, I create water wells by drilling a hole down into the earth to supply a homeowner with the amount of water that will support their lifestyle.","En tant que puisatier (creuseur de puits) du secteur résidentiel, je crée des puits d’eau en creusant un trou dans la terre pour atteindre une source d’eau qui répondra aux besoins des occupants d’une maison.","CONTRACTING"
"Business Incubator","Incubateurs d’entreprises","As a business incubator, I help to speed up the growth and success of startups and early stage companies.","Dans le cadre de mon incubateur d’entreprise, je contribue à accélérer la croissance et la réussite d’entreprises en démarrage.","PROFESSIONAL_SERVICES"
"Glass Ornaments, Stemware and Articles Manufacturer (No Windows)","Ornements en verre, verres à pied, articles de verre (sauf fenêtres)","As a glass ornament/stemware and articles manufacturer, I make drinkware, glasses, cups, crystal, plates and bowls.","En tant que fabricant d’ornements en verre, de verres à pied et d’articles connexes, je crée des verres, des tasses, des plats et des bols.",NULL
"Ice Dealers","Glace – Marchands","As an ice dealer, I sell packaged, ice, ice equipment and other ice products, such as sculptures.","En tant que marchand de glace, je vends de la glace emballée et d’autres produits de glace, comme des sculptures.","RETAIL"
"Ophthalmologists","Ophtalmologistes","As an opthamologist, I diagnose and treat eye diseases, perform eye surgery and prescribe and fit eyeglasses and contact lenses to correct vision problems.","À titre d’ophtalmologiste, je diagnostique et traite les maladies des yeux, je pratique des chirurgies oculaires et je prescris des lunettes dont je fais l’ajustement et des verres de contact pour corriger la vue.","CONTRACTING"
"Frozen Foods Store","Magasin d’aliments surgelés","As a frozen foods store, I sell a variety of frozen foods such as organic fruits and vegetables, meats, and desserts.","À mon magasin d’aliments surgelés, je vends différents produits surgelés comme des fruits et légumes biologiques, des viandes et des desserts.","RETAIL"
"Newspapers/Periodicals/Books - Wholesale","Journaux, périodiques, livres – Commerce de gros","As a newspapers/periodicals/books wholesaler, I distribute newspapers, periodicals and books for independents and publishers.","En tant que grossiste de journaux, de périodiques et de livres, je distribue des journaux, des périodiques et des livres à des magasins indépendants et à des éditeurs.",NULL
"Office Machines (Not Including Computers) - Wholesale","Machines de bureau (ordinateurs exclus) – Commerce de gros","As an office machines wholesaler, I sell photocopiers, fax machines, scanners, printers and phones. I do not sell any computers.","En tant que grossiste de machines de bureau, je vends des photocopieurs, des télécopieurs, des numériseurs, des imprimantes et des téléphones. Je ne vends pas d’ordinateurs.",NULL
